Suite Name	Test Name	Test ID	Voltage	Frequency	Status	Context	Host Payload	Compare Check Data
conv-bmark	Conv Accelerator FP16 Convolution	2	0.70	1100000000	SKIP_MAX_FREQ_FAIL	None	None	None
conv-bmark	Conv Accelerator FP16 Convolution	2	0.70	1150000000	SKIP_MAX_FREQ_FAIL	None	None	None
conv-bmark	Conv Accelerator FP16 Convolution	2	0.70	1200000000	SKIP_MAX_FREQ_FAIL	None	None	None
conv-bmark	Conv Accelerator FP16 Convolution	2	0.70	1250000000	SKIP_MAX_FREQ_FAIL	None	None	None
conv-bmark	Conv Accelerator FP16 Convolution	2	0.70	1300000000	SKIP_MAX_FREQ_FAIL	None	None	None
conv-bmark	Conv Accelerator FP16 Convolution	2	0.75	50000000	PASS	{'seed': b'\xdf\x07CU'}	df074355	340700754 cycles
conv-bmark	Conv Accelerator FP16 Convolution	2	0.75	100000000	PASS	{'seed': b'\xb3M\xe4\xd3'}	b34de4d3	340757214 cycles
conv-bmark	Conv Accelerator FP16 Convolution	2	0.75	150000000	PASS	{'seed': b'!h\xd3\x1e'}	2168d31e	340853770 cycles
conv-bmark	Conv Accelerator FP16 Convolution	2	0.75	200000000	PASS	{'seed': b'\xda\xce=Q'}	dace3d51	340966759 cycles
conv-bmark	Conv Accelerator FP16 Convolution	2	0.75	250000000	PASS	{'seed': b'W\x99Q\xde'}	579951de	341090958 cycles
conv-bmark	Conv Accelerator FP16 Convolution	2	0.75	300000000	PASS	{'seed': b'\x1bP\\\x0b'}	1b505c0b	341223924 cycles
conv-bmark	Conv Accelerator FP16 Convolution	2	0.75	350000000	PASS	{'seed': b'\xe0\x9a:\x05'}	e09a3a05	341358432 cycles
conv-bmark	Conv Accelerator FP16 Convolution	2	0.75	400000000	PASS	{'seed': b'\xa4s\\Y'}	a4735c59	341498976 cycles
conv-bmark	Conv Accelerator FP16 Convolution	2	0.75	450000000	PASS	{'seed': b'\x7f~\xe15'}	7f7ee135	341635957 cycles
conv-bmark	Conv Accelerator FP16 Convolution	2	0.75	500000000	PASS	{'seed': b'\xdaz\xc0\xd9'}	da7ac0d9	341780193 cycles
conv-bmark	Conv Accelerator FP16 Convolution	2	0.75	550000000	PASS	{'seed': b'\x0e\xac\x0e\xce'}	0eac0ece	341923722 cycles
conv-bmark	Conv Accelerator FP16 Convolution	2	0.75	600000000	PASS	{'seed': b'x\xddQ{'}	78dd517b	342065738 cycles
